Cr,Co,Mo,W,Ta,Re,Al,B,C,Hf,Ni,Nb,Ti,ÎÂ¶È,Ó¦Á¦,shouming£¨h£©,suxing£¨%£©
6.455,9.585,0.61,6.405,6.465,2.955,5.61,0,0,0.072,60.905,0,1.015,850,650,142,28
6.455,9.585,0.61,6.405,6.465,2.955,5.61,0,0,0.072,60.905,0,1.015,980,250,271,23
6.455,9.585,0.61,6.405,6.465,2.955,5.61,0,0,0.072,60.905,0,1.015,1050,190,115,17.5
6.455,9.585,0.61,6.405,6.465,2.955,5.61,0,0,0.072,60.905,0,1.015,850,650,108,38
5.5,4.5,1.5,6,6,0,5.8,0,0,0,70.7,0,0,800,750,21.31,9.84
5.5,4.5,1.5,6,6,0,5.8,0,0,0.5,70.2,0,0,800,750,22.58,11.04
5.5,4.5,1.5,6,6,0.5,5.8,0,0,0,70.2,0,0,1010,235,24.55,32.32
5.5,4.5,1.5,6,6,0.5,5.8,0,0,0.5,69.7,0,0,1010,235,25.43,35.44
5.5,4.5,1.5,6,6,0,5.8,0,0,0,70.2,0.5,0,800,750,54.05,22.16
5.5,4.5,2,6,6.5,0,6.8,0,0,0,68.2,0.5,0,800,750,90.92,19.36
5.5,4.5,2,6,6.5,0,6.8,0,0,0.5,67.7,0.5,0,1010,235,54.75,28.96
5.5,4.5,2,6,6.5,0.5,6.8,0,0,0,67.7,0.5,0,1010,235,61.02,31.6
5.5,4.5,2,6,6.5,0.5,6.8,0,0,0.5,67.2,0.5,0,800,750,149.38,24.72
5.5,4.5,2.5,6,6.5,0,6.8,0,0,0,68.2,0,0,800,750,178.42,16.88
5.5,4.5,2.5,6,6.5,0,6.8,0,0,0,67.7,0.5,0,1010,235,59.65,21.36
5.5,4.5,2.5,6,6.5,0,6.8,0,0,0.5,67.2,0.5,0,1010,235,62.93,20.4
5.5,4.5,2.5,6,6.5,0.5,6.8,0,0,0,67.2,0.5,0,1010,235,62.93,21.84
5.5,4.5,2.5,6,6.5,0.5,6.8,0,0,0.5,66.7,0.5,0,1010,235,69.17,24
5.5,4.5,1.5,6,7,0,6.8,0,0,0,68.7,0,0,1010,235,69.93,15.52
5.5,4.5,1.5,6,7,0,6.8,0,0,0.5,68.2,0,0,1010,235,75.32,15.52
5.5,4.5,1.5,6,7,0.5,6.8,0,0,0,68.2,0,0,1010,235,77.8,32.56
5.5,4.5,1.5,6,7,0.5,6.8,0,0,0.5,67.7,0,0,1010,235,82.54,27.36
5.5,4.5,1.5,6,7,0,6.8,0,0,0,68.2,0.5,0,1010,235,84.68,17.52
5.5,4.5,1.5,6,7,0,6.8,0,0,0.5,67.7,0.5,0,1010,235,86.57,34.8
5.5,4.5,1.5,6,7,0.5,6.8,0,0,0,67.7,0.5,0,1010,235,87.64,26
5.5,4.5,1.5,6,7,0.5,6.8,0,0,0.5,67.2,0.5,0,1010,235,111.27,20.8
5.5,4.5,2,6,7,0,6.8,0,0,0,68.2,0,0,800,750,62.82,18.88
5.5,4.5,2,6,7,0,6.8,0,0,0.5,67.7,0,0,800,750,97.34,17.92
5.5,4.5,2,6,7,0.5,6.8,0,0,0,67.7,0,0,1010,235,52.23,22.64
5.5,4.5,2,6,7,0.5,6.8,0,0,0.5,67.2,0,0,1010,235,53.15,31.68
5.5,4.5,2,6,7,0,6.8,0,0,0,67.7,0.5,0,800,750,109.28,26.16
5.5,4.5,2,6,7,0,6.8,0,0,0.5,67.2,0.5,0,800,750,161.25,35.92
5.5,4.5,2,6,7,0.5,6.8,0,0,0,67.2,0.5,0,1010,235,59.03,44.08
5.5,4.5,2,6,7,0.5,6.8,0,0,0.5,66.7,0.5,0,1010,235,64.08,23.68
5.5,4.5,2.5,6,7,0,6.8,0,0,0,67.7,0,0,800,750,194.08,22.88
5.5,4.5,2.5,6,7,0.5,6.8,0,0,0,67.2,0,0,1010,235,37.08,41.28
5.5,4.5,2.5,6,7,0.5,6.8,0,0,0.5,66.7,0,0,1010,235,40.47,33.12
5.5,4.5,2.5,6,7,0,6.8,0,0,0,67.2,0.5,0,1010,235,49.68,13.36
5.5,4.5,2.5,6,7,0,6.8,0,0,0.5,66.7,0.5,0,1010,235,52.88,13.04
5.5,4.5,2.5,6,7,0.5,6.8,0,0,0,66.7,0.5,0,1010,235,52.9,25.44
5.5,4.5,2.5,6,7,0.5,6.8,0,0,0.5,66.2,0.5,0,1010,235,55.13,21.12
5.5,4.5,1.5,6,6,0,6.8,0,0,0,69.2,0,0,800,750,155.67,21.2
5.5,4.5,1.5,6,6,0,6.8,0,0,0.5,68.7,0,0,800,750,176.2,24.56
5.5,4.5,1.5,6,6,0.5,6.8,0,0,0,68.7,0,0,1010,235,49.1,30.32
5.5,4.5,1.5,6,6,0.5,6.8,0,0,0.5,68.2,0,0,1010,235,64.43,30.24
5.5,4.5,1.5,6,6,0,6.8,0,0,0,68.7,0.5,0,800,750,159.58,27.04
5.5,4.5,1.5,6,6,0,6.8,0,0,0.5,68.2,0.5,0,800,750,182.6,25.76
5.5,4.5,2,6,6,0,6.8,0,0,0,68.7,0,0,1010,235,52,27.92
5.5,4.5,2,6,6,0.5,6.8,0,0,0,68.2,0,0,1010,235,56.87,34
5.5,4.5,2,6,6,0.5,6.8,0,0,0.5,67.7,0,0,1010,235,57.81,21.68
5.5,4.5,2,6,6,0,6.8,0,0,0,68.2,0.5,0,1010,235,60.15,21.2
5.5,4.5,2,6,6,0.5,6.8,0,0,0,67.7,0.5,0,1010,235,62.27,22.72
5.5,4.5,2,6,6,0.5,6.8,0,0,0.5,67.2,0.5,0,1010,235,63.45,23.76
5.5,4.5,2.5,6,6,0,6.8,0,0,0.5,67.7,0,0,1010,235,63.98,33.76
5.5,4.5,2.5,6,6,0.5,6.8,0,0,0,67.7,0,0,1010,235,65,37.68
5.5,4.5,2.5,6,6,0,6.8,0,0,0,67.7,0.5,0,1010,235,65.98,19.92
5.5,4.5,2.5,6,6,0,6.8,0,0,0.5,67.2,0.5,0,1010,235,67.57,25.28
5.5,4.5,2.5,6,6,0.5,6.8,0,0,0,67.2,0.5,0,1010,235,68.58,37.04
5.5,4.5,1.5,6,6.5,0,6.8,0,0,0,68.7,0,0,1010,235,72.25,24.8
5.5,4.5,1.5,6,6.5,0,6.8,0,0,0.5,68.2,0,0,1010,235,73.03,28.08
5.5,4.5,1.5,6,6.5,0.5,6.8,0,0,0,68.2,0,0,1010,235,73.15,20.8
5.5,4.5,1.5,6,6.5,0,6.8,0,0,0,68.2,0.5,0,1010,235,77.88,36.8
5.5,4.5,1.5,6,6.5,0,6.8,0,0,0.5,67.7,0.5,0,1010,235,78.43,32.48
5.5,4.5,1.5,6,6.5,0.5,6.8,0,0,0,67.7,0.5,0,1010,235,78.82,32.16
5.5,4.5,1.5,6,6.5,0.5,6.8,0,0,0.5,67.2,0.5,0,1010,235,79.9,26.56
5.5,4.5,2,6,6.5,0,6.8,0,0,0,68.2,0,0,1010,235,82.37,29.84
5.5,4.5,2,6,6.5,0,6.8,0,0,0.5,67.7,0,0,1010,235,86.22,31.2
5.5,4.5,2,6,6.5,0.5,6.8,0,0,0,67.7,0,0,1010,235,86.48,32.4
5.5,4.5,2,6,6.5,0.5,6.8,0,0,0.5,67.2,0,0,1010,235,87.17,36.16
5.5,4.5,2,6,6.5,0,6.8,0,0,0,67.7,0.5,0,1010,235,88.56,31.36
5.5,4.5,2,6,6.5,0,6.8,0,0,0.5,67.2,0.5,0,1010,235,89.9,29.84
5.5,4.5,2,6,6.5,0.5,6.8,0,0,0,67.2,0.5,0,1010,235,89.9,27.52
5.5,4.5,2,6,6.5,0.5,6.8,0,0,0.5,66.7,0.5,0,1010,235,92.23,23.76
5.5,4.5,2.5,6,6.5,0,6.8,0,0,0,67.7,0,0,1010,235,95.03,19.44
